group,variable,value
gadW,1032,0
CARB-21,1032,0
CARB-18,1032,0
CARB-22,1032,0
OCH-7,1032,0
CARB-20,1032,0
rpoB,1032,0
acrD,1032,0
tetR,1032,0
tet(B),1032,0
tet(D),1032,0
vgaC,1032,0
sul2,1032,0
parC,1032,0
gyrA,1032,0
floR,1032,0
dfrA5,1032,0
APH(3'')-Ib,1032,0
ICR-Mc,1032,0
ANT(4')-IIb,1032,1
adeF,1032,1
ugd,1032,1
soxS,1032,1
soxR,1032,1
nfsA,1032,1
msbA,1032,1
mdtP,1032,1
mdtO,1032,1
mdtN,1032,1
mdtM,1032,1
mdtH,1032,1
mdtG,1032,1
mdtF,1032,1
mdtE,1032,1
mdtC,1032,1
mdtB,1032,1
mdtA,1032,1
mdfA,1032,1
marR,1032,1
marA,1032,1
kdpE,1032,1
gadX,1032,1
evgS,1032,1
evgA,1032,1
eptA,1032,1
emrY,1032,1
emrR,1032,1
emrK,1032,1
emrE,1032,1
emrB,1032,1
emrA,1032,1
cpxA,1032,1
baeS,1032,1
baeR,1032,1
bacA,1032,1
acrR,1032,1
acrB,1032,1
acrA,1032,1
YojI,1032,1
TolC,1032,1
PmrF,1032,1
H-NS,1032,1
GlpT,1032,1
CRP,1032,1
BUT-1,1032,1
AcrS,1032,1
AcrE,1032,1
AcrF,1032,1
gadW,1759,0
CARB-21,1759,0
CARB-18,1759,0
CARB-22,1759,0
OCH-7,1759,0
CARB-20,1759,0
rpoB,1759,0
acrD,1759,0
tetR,1759,0
tet(B),1759,0
tet(D),1759,0
vgaC,1759,0
sul2,1759,0
parC,1759,0
gyrA,1759,0
floR,1759,0
dfrA5,1759,0
APH(3'')-Ib,1759,0
ICR-Mc,1759,0
ANT(4')-IIb,1759,1
adeF,1759,1
ugd,1759,1
soxS,1759,1
soxR,1759,1
nfsA,1759,1
msbA,1759,1
mdtP,1759,1
mdtO,1759,1
mdtN,1759,1
mdtM,1759,1
mdtH,1759,1
mdtG,1759,1
mdtF,1759,1
mdtE,1759,1
mdtC,1759,1
mdtB,1759,1
mdtA,1759,1
mdfA,1759,1
marR,1759,1
marA,1759,1
kdpE,1759,1
gadX,1759,1
evgS,1759,1
evgA,1759,1
eptA,1759,1
emrY,1759,1
emrR,1759,1
emrK,1759,1
emrE,1759,1
emrB,1759,1
emrA,1759,1
cpxA,1759,1
baeS,1759,1
baeR,1759,1
bacA,1759,1
acrR,1759,1
acrB,1759,1
acrA,1759,1
YojI,1759,1
TolC,1759,1
PmrF,1759,1
H-NS,1759,1
GlpT,1759,1
CRP,1759,1
BUT-1,1759,1
AcrS,1759,1
AcrE,1759,1
AcrF,1759,1
gadW,1036,0
CARB-21,1036,1
CARB-18,1036,0
CARB-22,1036,0
OCH-7,1036,0
CARB-20,1036,0
rpoB,1036,0
acrD,1036,0
tetR,1036,0
tet(B),1036,0
tet(D),1036,0
vgaC,1036,0
sul2,1036,0
parC,1036,0
gyrA,1036,0
floR,1036,0
dfrA5,1036,0
APH(3'')-Ib,1036,0
ICR-Mc,1036,0
ANT(4')-IIb,1036,1
adeF,1036,1
ugd,1036,1
soxS,1036,1
soxR,1036,1
nfsA,1036,1
msbA,1036,1
mdtP,1036,1
mdtO,1036,1
mdtN,1036,1
mdtM,1036,1
mdtH,1036,1
mdtG,1036,1
mdtF,1036,1
mdtE,1036,1
mdtC,1036,1
mdtB,1036,1
mdtA,1036,1
mdfA,1036,1
marR,1036,1
marA,1036,1
kdpE,1036,1
gadX,1036,1
evgS,1036,1
evgA,1036,1
eptA,1036,1
emrY,1036,1
emrR,1036,1
emrK,1036,1
emrE,1036,1
emrB,1036,1
emrA,1036,1
cpxA,1036,1
baeS,1036,1
baeR,1036,1
bacA,1036,1
acrR,1036,1
acrB,1036,1
acrA,1036,1
YojI,1036,1
TolC,1036,1
PmrF,1036,1
H-NS,1036,1
GlpT,1036,1
CRP,1036,1
BUT-1,1036,1
AcrS,1036,1
AcrE,1036,1
AcrF,1036,1
gadW,1751,0
CARB-21,1751,0
CARB-18,1751,1
CARB-22,1751,0
OCH-7,1751,0
CARB-20,1751,0
rpoB,1751,0
acrD,1751,0
tetR,1751,0
tet(B),1751,0
tet(D),1751,0
vgaC,1751,0
sul2,1751,0
parC,1751,0
gyrA,1751,0
floR,1751,0
dfrA5,1751,0
APH(3'')-Ib,1751,0
ICR-Mc,1751,0
ANT(4')-IIb,1751,1
adeF,1751,1
ugd,1751,1
soxS,1751,1
soxR,1751,1
nfsA,1751,1
msbA,1751,1
mdtP,1751,1
mdtO,1751,1
mdtN,1751,1
mdtM,1751,1
mdtH,1751,1
mdtG,1751,1
mdtF,1751,1
mdtE,1751,1
mdtC,1751,1
mdtB,1751,1
mdtA,1751,1
mdfA,1751,1
marR,1751,1
marA,1751,1
kdpE,1751,1
gadX,1751,1
evgS,1751,1
evgA,1751,1
eptA,1751,1
emrY,1751,1
emrR,1751,1
emrK,1751,1
emrE,1751,1
emrB,1751,1
emrA,1751,1
cpxA,1751,1
baeS,1751,1
baeR,1751,1
bacA,1751,1
acrR,1751,1
acrB,1751,1
acrA,1751,1
YojI,1751,1
TolC,1751,1
PmrF,1751,1
H-NS,1751,1
GlpT,1751,1
CRP,1751,1
BUT-1,1751,1
AcrS,1751,1
AcrE,1751,1
AcrF,1751,1
gadW,1476,0
CARB-21,1476,0
CARB-18,1476,0
CARB-22,1476,0
OCH-7,1476,0
CARB-20,1476,0
rpoB,1476,0
acrD,1476,0
tetR,1476,0
tet(B),1476,0
tet(D),1476,0
vgaC,1476,0
sul2,1476,0
parC,1476,0
gyrA,1476,0
floR,1476,0
dfrA5,1476,0
APH(3'')-Ib,1476,0
ICR-Mc,1476,0
ANT(4')-IIb,1476,1
adeF,1476,1
ugd,1476,1
soxS,1476,1
soxR,1476,1
nfsA,1476,1
msbA,1476,1
mdtP,1476,1
mdtO,1476,1
mdtN,1476,1
mdtM,1476,1
mdtH,1476,1
mdtG,1476,1
mdtF,1476,1
mdtE,1476,1
mdtC,1476,1
mdtB,1476,1
mdtA,1476,1
mdfA,1476,1
marR,1476,1
marA,1476,1
kdpE,1476,1
gadX,1476,1
evgS,1476,1
evgA,1476,1
eptA,1476,1
emrY,1476,1
emrR,1476,1
emrK,1476,1
emrE,1476,1
emrB,1476,1
emrA,1476,1
cpxA,1476,1
baeS,1476,1
baeR,1476,1
bacA,1476,1
acrR,1476,1
acrB,1476,1
acrA,1476,1
YojI,1476,1
TolC,1476,1
PmrF,1476,1
H-NS,1476,1
GlpT,1476,1
CRP,1476,1
BUT-1,1476,1
AcrS,1476,1
AcrE,1476,1
AcrF,1476,1
gadW,1033,0
CARB-21,1033,1
CARB-18,1033,0
CARB-22,1033,0
OCH-7,1033,0
CARB-20,1033,0
rpoB,1033,0
acrD,1033,0
tetR,1033,0
tet(B),1033,0
tet(D),1033,0
vgaC,1033,0
sul2,1033,0
parC,1033,0
gyrA,1033,0
floR,1033,0
dfrA5,1033,0
APH(3'')-Ib,1033,0
ICR-Mc,1033,0
ANT(4')-IIb,1033,1
adeF,1033,1
ugd,1033,1
soxS,1033,1
soxR,1033,1
nfsA,1033,1
msbA,1033,1
mdtP,1033,1
mdtO,1033,1
mdtN,1033,1
mdtM,1033,1
mdtH,1033,1
mdtG,1033,1
mdtF,1033,1
mdtE,1033,1
mdtC,1033,1
mdtB,1033,1
mdtA,1033,1
mdfA,1033,1
marR,1033,1
marA,1033,1
kdpE,1033,1
gadX,1033,1
evgS,1033,1
evgA,1033,1
eptA,1033,1
emrY,1033,1
emrR,1033,1
emrK,1033,1
emrE,1033,1
emrB,1033,1
emrA,1033,1
cpxA,1033,1
baeS,1033,1
baeR,1033,1
bacA,1033,1
acrR,1033,1
acrB,1033,1
acrA,1033,1
YojI,1033,1
TolC,1033,1
PmrF,1033,1
H-NS,1033,1
GlpT,1033,1
CRP,1033,1
BUT-1,1033,1
AcrS,1033,1
AcrE,1033,1
AcrF,1033,1
gadW,1294,0
CARB-21,1294,0
CARB-18,1294,0
CARB-22,1294,0
OCH-7,1294,0
CARB-20,1294,0
rpoB,1294,0
acrD,1294,0
tetR,1294,0
tet(B),1294,0
tet(D),1294,0
vgaC,1294,0
sul2,1294,0
parC,1294,0
gyrA,1294,0
floR,1294,0
dfrA5,1294,0
APH(3'')-Ib,1294,0
ICR-Mc,1294,0
ANT(4')-IIb,1294,1
adeF,1294,1
ugd,1294,1
soxS,1294,1
soxR,1294,1
nfsA,1294,1
msbA,1294,1
mdtP,1294,1
mdtO,1294,1
mdtN,1294,1
mdtM,1294,1
mdtH,1294,1
mdtG,1294,1
mdtF,1294,1
mdtE,1294,1
mdtC,1294,1
mdtB,1294,1
mdtA,1294,1
mdfA,1294,1
marR,1294,1
marA,1294,1
kdpE,1294,1
gadX,1294,1
evgS,1294,1
evgA,1294,1
eptA,1294,1
emrY,1294,1
emrR,1294,1
emrK,1294,1
emrE,1294,1
emrB,1294,1
emrA,1294,1
cpxA,1294,1
baeS,1294,1
baeR,1294,1
bacA,1294,1
acrR,1294,1
acrB,1294,1
acrA,1294,1
YojI,1294,1
TolC,1294,1
PmrF,1294,1
H-NS,1294,1
GlpT,1294,1
CRP,1294,1
BUT-1,1294,1
AcrS,1294,1
AcrE,1294,1
AcrF,1294,1
gadW,1058,0
CARB-21,1058,0
CARB-18,1058,0
CARB-22,1058,0
OCH-7,1058,0
CARB-20,1058,0
rpoB,1058,0
acrD,1058,0
tetR,1058,0
tet(B),1058,0
tet(D),1058,0
vgaC,1058,0
sul2,1058,0
parC,1058,0
gyrA,1058,0
floR,1058,0
dfrA5,1058,0
APH(3'')-Ib,1058,0
ICR-Mc,1058,0
ANT(4')-IIb,1058,1
adeF,1058,1
ugd,1058,1
soxS,1058,1
soxR,1058,1
nfsA,1058,1
msbA,1058,1
mdtP,1058,1
mdtO,1058,1
mdtN,1058,1
mdtM,1058,1
mdtH,1058,1
mdtG,1058,1
mdtF,1058,1
mdtE,1058,1
mdtC,1058,1
mdtB,1058,1
mdtA,1058,1
mdfA,1058,1
marR,1058,1
marA,1058,1
kdpE,1058,1
gadX,1058,1
evgS,1058,1
evgA,1058,1
eptA,1058,1
emrY,1058,1
emrR,1058,1
emrK,1058,1
emrE,1058,1
emrB,1058,1
emrA,1058,1
cpxA,1058,1
baeS,1058,1
baeR,1058,1
bacA,1058,1
acrR,1058,1
acrB,1058,1
acrA,1058,1
YojI,1058,1
TolC,1058,1
PmrF,1058,1
H-NS,1058,1
GlpT,1058,1
CRP,1058,1
BUT-1,1058,1
AcrS,1058,1
AcrE,1058,1
AcrF,1058,1
gadW,1803,0
CARB-21,1803,0
CARB-18,1803,0
CARB-22,1803,0
OCH-7,1803,0
CARB-20,1803,0
rpoB,1803,0
acrD,1803,0
tetR,1803,0
tet(B),1803,0
tet(D),1803,0
vgaC,1803,0
sul2,1803,0
parC,1803,0
gyrA,1803,0
floR,1803,0
dfrA5,1803,0
APH(3'')-Ib,1803,0
ICR-Mc,1803,0
ANT(4')-IIb,1803,1
adeF,1803,1
ugd,1803,1
soxS,1803,1
soxR,1803,1
nfsA,1803,1
msbA,1803,1
mdtP,1803,1
mdtO,1803,1
mdtN,1803,1
mdtM,1803,1
mdtH,1803,1
mdtG,1803,1
mdtF,1803,1
mdtE,1803,1
mdtC,1803,1
mdtB,1803,1
mdtA,1803,1
mdfA,1803,1
marR,1803,1
marA,1803,1
kdpE,1803,1
gadX,1803,1
evgS,1803,1
evgA,1803,1
eptA,1803,1
emrY,1803,1
emrR,1803,1
emrK,1803,1
emrE,1803,1
emrB,1803,1
emrA,1803,1
cpxA,1803,1
baeS,1803,1
baeR,1803,1
bacA,1803,1
acrR,1803,1
acrB,1803,1
acrA,1803,1
YojI,1803,1
TolC,1803,1
PmrF,1803,1
H-NS,1803,1
GlpT,1803,1
CRP,1803,1
BUT-1,1803,1
AcrS,1803,1
AcrE,1803,1
AcrF,1803,1
gadW,1239,0
CARB-21,1239,1
CARB-18,1239,0
CARB-22,1239,0
OCH-7,1239,0
CARB-20,1239,0
rpoB,1239,0
acrD,1239,0
tetR,1239,0
tet(B),1239,0
tet(D),1239,0
vgaC,1239,0
sul2,1239,0
parC,1239,0
gyrA,1239,0
floR,1239,0
dfrA5,1239,0
APH(3'')-Ib,1239,0
ICR-Mc,1239,0
ANT(4')-IIb,1239,1
adeF,1239,1
ugd,1239,1
soxS,1239,1
soxR,1239,1
nfsA,1239,1
msbA,1239,1
mdtP,1239,1
mdtO,1239,1
mdtN,1239,1
mdtM,1239,1
mdtH,1239,1
mdtG,1239,1
mdtF,1239,1
mdtE,1239,1
mdtC,1239,1
mdtB,1239,1
mdtA,1239,1
